epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.73024,0.85376,3.01356,1.28388,0.00332,1,0.38374,0.32605,0.56282,3.76163,0.95245,0.09612,0.00012,0.00012
2,16.3708,0.8033,2.58885,1.10631,0.00258,0.8,0.3418,0.23404,0.74945,3.67557,1.06509,0.0912647,0.000264654,0.000264654
3,23.9485,0.8011,1.77849,1.13876,0.00263,0.8,0.28676,0.16545,0.77844,3.55857,1.15679,0.0864034,0.000403368,0.000403368
4,31.677,0.89446,1.70856,1.34758,0.00378,1,0.48821,0.2517,1.14359,3.26334,1.36683,0.0815361,0.000536142,0.000536142
5,39.3678,0.79675,1.40868,1.18986,0.00359,1,0.90851,0.52426,0.98801,3.02038,1.17753,0.076663,0.000662976,0.000662976
6,46.9136,0.90767,1.206,1.17297,0.00346,1,0.7919,0.52018,0.81554,2.95443,1.05551,0.0717839,0.00078387,0.00078387
7,54.6167,0.81114,1.22783,1.11121,0.92875,0.25,0.62125,0.47088,0.85674,2.87602,1.32675,0.0668988,0.000898824,0.000898824
8,62.9995,0.7838,1.19184,1.14366,0.86089,0.375,0.72685,0.55388,0.76577,2.62503,1.32432,0.0620078,0.00100784,0.00100784
9,72.1963,0.96927,1.25325,1.21371,0.8317,0.49386,0.74692,0.55078,0.88018,2.44357,1.47226,0.0571109,0.00111091,0.00111091
10,81.5221,0.75663,1.00143,1.0836,0.79388,0.35971,0.67238,0.46613,0.95694,2.49578,1.45023,0.052208,0.00120805,0.00120805
11,90.4319,0.85851,1.04817,1.29575,0.62724,0.7,0.795,0.53513,1.04212,2.37648,1.42013,0.0472992,0.00129924,0.00129924
12,99.0455,0.90961,1.06745,1.22996,0.84336,0.7,0.79204,0.47329,1.03113,2.14021,1.43361,0.0423845,0.00138449,0.00138449
13,107.891,0.9974,1.20896,1.30592,0.585,0.77272,0.75591,0.44602,0.86411,1.73237,1.24872,0.0374638,0.00146381,0.00146381
14,116.376,0.90279,1.21335,1.27371,0.585,0.77272,0.75591,0.44602,0.86411,1.73237,1.24872,0.0325372,0.00153718,0.00153718
15,125.189,0.71093,0.95287,1.15314,0.58651,0.64739,0.69778,0.4536,0.93828,1.81692,1.32101,0.0276046,0.00160462,0.00160462
16,134.214,0.66447,1.6441,0.92587,0.78064,0.55,0.70631,0.44028,1.03586,1.89092,1.34696,0.0226661,0.00166611,0.00166611
17,142.956,0.87953,1.00364,1.16918,0.6249,0.80558,0.78763,0.52951,0.90052,2.13572,1.20354,0.0177217,0.00172166,0.00172166
18,150.303,0.84819,1.0012,1.17209,0.6249,0.80558,0.78763,0.52951,0.90052,2.13572,1.20354,0.0127713,0.00177128,0.00177128
19,157.602,0.63565,1.51685,0.9759,0.67938,1,0.87476,0.61377,0.88623,1.76595,1.15333,0.00781495,0.00181495,0.00181495
20,165.019,0.78245,0.93885,1.11255,0.83333,0.9,0.96643,0.71687,0.86701,1.74369,1.17743,0.00285269,0.00185269,0.00185269
21,172.448,0.86821,1.10088,1.05597,0.83333,0.9,0.96643,0.71687,0.86701,1.74369,1.17743,0.001812,0.001812,0.001812
22,180.009,0.74613,0.82423,1.05327,0.85996,0.98777,0.97,0.67691,0.84269,1.84473,1.27321,0.0017526,0.0017526,0.0017526
23,187.478,0.75321,0.88349,1.15036,0.96572,0.99429,0.995,0.75072,0.79493,1.55415,1.25756,0.0016932,0.0016932,0.0016932
24,194.694,0.56336,1.18235,0.86392,0.96572,0.99429,0.995,0.75072,0.79493,1.55415,1.25756,0.0016338,0.0016338,0.0016338
25,202.189,0.83031,0.87521,1.1704,0.96814,1,0.995,0.77892,0.81063,1.42832,1.22262,0.0015744,0.0015744,0.0015744
26,209.301,0.7317,0.89774,1.13142,0.96814,1,0.995,0.77892,0.81063,1.42832,1.22262,0.001515,0.001515,0.001515
27,216.846,0.82063,0.8989,1.07544,0.95901,0.99369,0.995,0.72554,0.87467,1.46384,1.14614,0.0014556,0.0014556,0.0014556
28,224.434,0.77683,0.89887,1.09939,0.95648,1,0.995,0.79065,0.81215,1.30495,1.10062,0.0013962,0.0013962,0.0013962
29,231.96,0.76786,1.0197,1.12007,0.95648,1,0.995,0.79065,0.81215,1.30495,1.10062,0.0013368,0.0013368,0.0013368
30,239.639,0.8317,0.82776,1.06545,0.88864,1,0.995,0.82053,0.74495,1.19161,1.04771,0.0012774,0.0012774,0.0012774
31,246.864,0.71043,0.8743,1.07678,0.80603,1,0.995,0.76866,0.68573,1.2592,1.00253,0.001218,0.001218,0.001218
32,254.175,0.86098,0.94293,1.24786,0.80603,1,0.995,0.76866,0.68573,1.2592,1.00253,0.0011586,0.0011586,0.0011586
33,261.876,0.6634,0.73598,1.07667,0.89467,1,0.995,0.78885,0.66995,1.28201,0.99256,0.0010992,0.0010992,0.0010992
34,270.592,0.65546,0.78626,1.03881,0.89467,1,0.995,0.78885,0.66995,1.28201,0.99256,0.0010398,0.0010398,0.0010398
35,279.469,0.9886,0.9261,1.37782,0.94311,1,0.995,0.78543,0.72668,1.1702,1.04044,0.0009804,0.0009804,0.0009804
36,288.268,0.5713,1.02012,0.91219,0.97291,1,0.995,0.74267,0.80284,1.02233,1.094,0.000921,0.000921,0.000921
37,295.629,0.67481,0.7433,0.99022,0.97291,1,0.995,0.74267,0.80284,1.02233,1.094,0.0008616,0.0008616,0.0008616
38,303.232,0.70311,0.80578,0.97576,0.97438,1,0.995,0.76024,0.73445,0.94741,1.05692,0.0008022,0.0008022,0.0008022
39,310.747,0.92062,0.88261,1.34689,0.97888,1,0.995,0.74353,0.71067,0.97938,1.0484,0.0007428,0.0007428,0.0007428
40,318.318,0.56313,0.65497,1.05995,0.97888,1,0.995,0.74353,0.71067,0.97938,1.0484,0.0006834,0.0006834,0.0006834
41,325.629,0.55495,0.72963,0.94502,0.97986,1,0.995,0.77698,0.6261,0.88082,0.9782,0.000624,0.000624,0.000624
42,333.229,0.48778,0.8252,0.89528,0.97986,1,0.995,0.77698,0.6261,0.88082,0.9782,0.0005646,0.0005646,0.0005646
43,340.84,0.47738,0.64766,0.92182,0.98238,1,0.995,0.7955,0.61631,0.79835,0.98305,0.0005052,0.0005052,0.0005052
44,348.242,0.4946,0.63683,0.88879,0.98886,1,0.995,0.82383,0.69301,0.72112,1.03035,0.0004458,0.0004458,0.0004458
45,355.513,0.51566,0.6055,0.97629,0.98886,1,0.995,0.82383,0.69301,0.72112,1.03035,0.0003864,0.0003864,0.0003864
46,363.307,0.58507,0.66115,0.98441,0.98867,1,0.995,0.81472,0.68683,0.7095,1.02192,0.000327,0.000327,0.000327
47,371.693,0.52199,0.62727,0.91383,0.98794,1,0.995,0.81371,0.68071,0.70392,1.00943,0.0002676,0.0002676,0.0002676
48,378.982,0.58388,0.64168,1.16017,0.98794,1,0.995,0.81371,0.68071,0.70392,1.00943,0.0002082,0.0002082,0.0002082
49,386.509,0.53352,0.72809,0.99272,0.98478,1,0.995,0.80938,0.68304,0.7001,0.99797,0.0001488,0.0001488,0.0001488
50,393.791,1.13348,1.20102,1.5272,0.98478,1,0.995,0.80938,0.68304,0.7001,0.99797,8.94e-05,8.94e-05,8.94e-05
