epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6645,1.4482,3.22295,1.58836,0.00177,0.53333,0.04942,0.00814,2.34838,4.68938,2.85185,0.09216,0.00016,0.00016
2,32.3155,1.41107,2.83394,1.48662,0.00343,1,0.53562,0.28442,1.48951,3.4265,1.85487,0.0833355,0.000335512,0.000335512
3,49.6269,1.45982,2.31527,1.55589,0.00371,1,0.61012,0.35816,1.32177,3.11329,1.56322,0.0745063,0.000506272,0.000506272
4,65.1172,1.41026,2.02966,1.50832,1,0.25932,0.6407,0.24549,1.87538,2.89451,1.98925,0.0656723,0.00067228,0.00067228
5,77.629,1.32487,1.89039,1.49347,0.80044,0.41113,0.6881,0.35631,1.68898,2.63305,1.91089,0.0568335,0.000833536,0.000833536
6,90.8471,1.38748,1.75018,1.53903,0.85398,0.4,0.84088,0.49349,1.42486,2.00449,1.68563,0.04799,0.00099004,0.00099004
7,104.355,1.37317,1.56235,1.46136,0.71355,0.91256,0.94262,0.57171,1.34587,1.42134,1.65575,0.0391418,0.00114179,0.00114179
8,118.539,1.34475,1.49542,1.44097,0.8403,0.87387,0.94778,0.47044,1.58678,1.90229,2.05896,0.0302888,0.00128879,0.00128879
9,134.158,1.30831,1.52272,1.38028,0.89207,0.98643,0.98389,0.40333,1.90938,1.90216,2.38496,0.021431,0.00143104,0.00143104
10,148.448,1.35818,1.5884,1.52612,0.93813,0.87425,0.98389,0.46905,1.73098,1.73645,2.03968,0.0125685,0.00156854,0.00156854
11,161.869,1.4985,1.55905,1.56957,0.66728,0.96621,0.96167,0.53859,1.53548,3.70418,1.73508,0.00370128,0.00170128,0.00170128
12,174.404,1.37537,1.47395,1.44252,0.57349,0.99489,0.90403,0.44444,1.56184,5.94272,1.80455,0.0017096,0.0017096,0.0017096
13,186.92,1.26594,1.38435,1.4559,0.6474,1,0.93944,0.47958,1.58341,7.51712,1.83708,0.0016832,0.0016832,0.0016832
14,199.287,1.37133,1.47879,1.47539,0.71416,1,0.96537,0.5502,1.33004,6.88043,1.48016,0.0016568,0.0016568,0.0016568
15,212.635,1.24069,1.35782,1.3472,0.60953,1,0.97595,0.64011,1.24147,5.49739,1.40629,0.0016304,0.0016304,0.0016304
16,226.291,1.22572,1.21718,1.28582,0.60805,0.92069,0.94556,0.69581,1.03342,4.74124,1.27525,0.001604,0.001604,0.001604
17,240.698,1.3499,1.36664,1.42775,0.70143,0.78525,0.85746,0.58192,1.08035,4.1612,1.3044,0.0015776,0.0015776,0.0015776
18,255.765,1.3838,1.45726,1.49825,0.53645,0.89357,0.81709,0.48042,1.35758,3.40637,1.48787,0.0015512,0.0015512,0.0015512
19,271.72,1.34482,1.38853,1.48059,0.7568,0.98133,0.98389,0.64808,1.18627,3.16006,1.44961,0.0015248,0.0015248,0.0015248
20,286.68,1.21024,1.34371,1.34435,0.84684,0.92675,0.98389,0.67247,1.0026,2.98236,1.34367,0.0014984,0.0014984,0.0014984
21,299.901,1.27309,1.19888,1.35705,0.80909,1,0.98389,0.70952,0.91123,2.79008,1.2568,0.001472,0.001472,0.001472
22,312.609,1.35433,1.21471,1.46831,0.82525,1,0.995,0.7269,0.93554,2.40723,1.21984,0.0014456,0.0014456,0.0014456
23,326.554,1.24953,1.21279,1.42432,0.81718,0.9781,0.995,0.70587,1.08683,2.32043,1.28022,0.0014192,0.0014192,0.0014192
24,340.464,1.23171,1.20917,1.35812,0.9027,0.97921,0.995,0.5706,1.48831,2.29867,1.5988,0.0013928,0.0013928,0.0013928
25,354.965,1.33276,1.32138,1.41417,0.9205,1,0.97278,0.44045,1.79043,2.48665,1.85438,0.0013664,0.0013664,0.0013664
26,370.436,1.31578,1.32763,1.37594,0.90457,1,0.97278,0.46545,1.75451,2.42198,1.83405,0.00134,0.00134,0.00134
27,393.486,1.29429,1.25662,1.41785,0.93807,1,0.995,0.68232,1.24114,1.66048,1.45838,0.0013136,0.0013136,0.0013136
28,415.327,1.25189,1.13984,1.38537,0.96253,1,0.995,0.71684,1.10266,1.24122,1.30671,0.0012872,0.0012872,0.0012872
29,437.476,1.2877,1.16452,1.48572,0.92106,0.98397,0.995,0.70945,1.11552,1.02566,1.27446,0.0012608,0.0012608,0.0012608
30,454.074,1.24269,1.26133,1.36724,0.95263,0.92655,0.97595,0.65879,1.24897,1.00798,1.3695,0.0012344,0.0012344,0.0012344
31,468.741,1.23485,1.11838,1.3103,0.95534,0.92884,0.97595,0.56837,1.55651,1.0203,1.57637,0.001208,0.001208,0.001208
32,480.903,1.25463,1.20324,1.43713,0.97807,0.93333,0.97,0.52158,1.66548,1.11012,1.64675,0.0011816,0.0011816,0.0011816
33,492.776,1.2435,1.13698,1.46009,0.95612,0.93333,0.97595,0.51754,1.61869,1.05101,1.60249,0.0011552,0.0011552,0.0011552
34,505.339,1.2277,1.20974,1.36849,0.97369,0.97375,0.995,0.60166,1.44089,1.00532,1.45901,0.0011288,0.0011288,0.0011288
35,518.16,1.27535,1.24631,1.40508,0.97763,0.99501,0.995,0.7018,1.18441,0.94071,1.29462,0.0011024,0.0011024,0.0011024
36,534.087,1.1155,0.96532,1.31669,0.98505,0.99154,0.995,0.68145,1.20784,0.95423,1.30712,0.001076,0.001076,0.001076
37,553.815,1.18527,1.05071,1.33336,0.98063,0.98916,0.995,0.65385,1.28389,0.97408,1.34541,0.0010496,0.0010496,0.0010496
38,575.735,1.08962,1.00942,1.2021,0.98451,1,0.995,0.61844,1.35997,0.97863,1.39178,0.0010232,0.0010232,0.0010232
39,594.551,1.13335,1.00387,1.25951,0.97813,1,0.995,0.61948,1.33999,0.94933,1.40539,0.0009968,0.0009968,0.0009968
40,610.786,1.0591,1.00201,1.23644,0.96694,1,0.995,0.63834,1.30383,0.93725,1.38756,0.0009704,0.0009704,0.0009704
41,623.18,1.16671,1.01383,1.32907,0.92437,1,0.995,0.66024,1.20496,0.96984,1.3533,0.000944,0.000944,0.000944
42,640.531,1.1585,1.02418,1.28258,0.89036,1,0.98389,0.67884,1.15298,1.00655,1.32261,0.0009176,0.0009176,0.0009176
